|Month : 11 - 2015|||||||By user : asiri
#|Item|Weight|BSC|BSP|GRRD|GRST|LDC|LDP|ULC|ULP|RDC|RDP|Bill|Exess|Short|Gap|
62|New Gift Selection - 05/01/2015|400|-|-|-|-|-|-|-|-|-|-|3|3|-|3|
63|Chocolate Marie - 05/01/2015|.32|-|-|-|-|1|-|-|-|1|-|36|32|-|32|
64|Choco Sorties - 07/15/2015|.33|3|-|-|-|3|-|4|-|1|-|32|28|-|28|
65|YoYo Chocolate - 07/29/2015|.26|-|-|-|-|-|-|-|-|-|-|6|6|-|6|
66|YoYo Vanila - 07/29/2015|.26|-|-|-|-|-|-|-|-|-|-|10|10|-|10|
67|New Nice - 08/19/2015|.44|18|-|-|-|35|-|17|4|33|4|364|252|24|228|
68|Cream Cracker - 09/22/2015|.25|-|-|-|-|1|3|-|-|1|3|1203|1192|-|1192|
69|Cream Cracker - 09/25/2015|.85|1|12|-|-|2|16|2|24|1|4|198|146|-|146|
70|Cream Cracker - 09/25/2015|.09|-|6|-|-|12|27|3|33|7|96|819|387|-|387|
71|Cream Cracker - 10/19/2015|.5|-|-|-|-|-|-|-|-|-|-|8|8|-|8|
72|Real temptation - 11/13/2015|.09|-|-|-|-|-|12|-|-|-|12|31|19|-|19|
